Datetime,PM2.5_Mean,Visibility,RH,Temperature,WindSpeed,BLH
2024-01-03 15:00:00,228.804,1094.35392,93.55,11.0,1.542288,39.575756
2024-01-03 16:00:00,219.524,1094.35392,93.5,10.0,1.542288,38.01916
2024-01-03 17:00:00,209.0503333333333,1094.35392,93.5,10.0,1.542288,39.594986
2024-01-03 18:00:00,216.84233333333333,901.23264,100.0,9.0,1.542288,45.264236
2024-01-03 19:00:00,234.86766666666665,804.672,93.45,9.0,2.056384,49.811802
2024-01-03 20:00:00,267.03366666666665,804.672,100.0,8.0,1.542288,58.77619
2024-01-03 21:00:00,277.295,804.672,93.45,9.0,2.056384,67.54892
2024-01-03 22:00:00,280.74799999999993,804.672,93.45,9.0,2.57048,72.23652
2024-01-03 23:00:00,260.1234482758621,804.672,100.0,8.0,2.056384,77.00349
2024-01-04 00:00:00,241.495,692.01792,100.0,8.0,1.542288,80.31464
2024-01-04 01:00:00,211.5136666666667,692.01792,100.0,9.0,2.056384,82.52427
2024-01-04 02:00:00,193.067,692.01792,100.0,9.0,2.57048,86.7769
2024-01-04 03:00:00,184.124,498.89664,100.0,9.0,2.056384,103.27948
2024-01-04 04:00:00,179.5536666666667,498.89664,87.37,10.0,2.056384,145.66107
2024-01-04 05:00:00,174.601,498.89664,87.37,10.0,2.056384,216.06764
2024-01-04 06:00:00,171.546,595.45728,87.37,10.0,2.056384,384.0331
2024-01-04 07:00:00,179.9646666666667,692.01792,87.47,11.0,3.598672,596.96796
2024-01-04 08:00:00,198.60766666666663,804.672,87.47,11.0,2.57048,809.9811
2024-01-04 09:00:00,211.61566666666664,804.672,93.55,11.0,2.056384,812.3528
2024-01-04 10:00:00,223.263,804.672,93.55,11.0,2.57048,772.7683
2024-01-04 11:00:00,248.63,804.672,93.55,11.0,1.542288,718.0195
2024-01-04 12:00:00,259.601,804.672,93.55,11.0,2.056384,116.76338
2024-01-04 13:00:00,254.5473333333333,804.672,93.55,11.0,2.056384,82.81341
2024-01-04 14:00:00,252.144,692.01792,93.55,11.0,2.57048,82.23463
2024-01-04 15:00:00,247.0643333333333,692.01792,93.55,11.0,2.57048,80.41478
2024-01-04 16:00:00,239.1413333333333,692.01792,93.55,11.0,2.056384,77.05679
2024-01-04 17:00:00,239.75866666666667,692.01792,93.55,11.0,2.056384,73.97643
2024-01-04 18:00:00,234.179,595.45728,93.55,11.0,1.542288,65.048454
2024-01-04 19:00:00,226.3983333333333,595.45728,93.55,11.0,0.0,62.83586
2024-01-04 20:00:00,225.63833333333332,305.77536000000003,93.55,11.0,1.542288,55.93345
2024-01-04 21:00:00,217.62533333333332,305.77536000000003,93.55,11.0,2.056384,58.394867
2024-01-04 22:00:00,204.32066666666665,144.84096,93.55,11.0,1.542288,72.43409
2024-01-04 23:00:00,193.68633333333332,144.84096,93.55,11.0,1.542288,81.24499
2024-01-05 00:00:00,175.16233333333332,305.77536000000003,93.55,11.0,1.542288,90.03801
2024-01-05 01:00:00,171.57766666666666,354.05568,100.0,10.0,1.542288,93.760895
2024-01-05 02:00:00,162.40500000000003,354.05568,100.0,10.0,0.0,89.80496
2024-01-05 03:00:00,150.51833333333337,692.01792,93.55,11.0,0.0,125.85976
2024-01-05 04:00:00,133.51899999999998,692.01792,93.55,11.0,0.0,179.15594
2024-01-05 05:00:00,114.14900000000002,997.79328,93.6,12.0,0.0,328.5578
2024-01-05 06:00:00,115.39833333333334,1094.35392,93.65,13.0,0.0,590.7032
2024-01-05 07:00:00,113.821,1303.5686400000002,93.65,13.0,1.028192,751.78204
2024-01-05 08:00:00,115.773,1303.5686400000002,93.65,13.0,3.084576,679.8297
2024-01-05 09:00:00,124.79066666666668,1303.5686400000002,93.65,13.0,2.056384,693.4255
2024-01-05 10:00:00,137.386,1207.008,87.74,14.0,2.056384,665.1467
2024-01-05 11:00:00,156.52633333333333,1094.35392,87.74,14.0,2.056384,482.38837
2024-01-05 12:00:00,178.01310344827587,997.79328,93.65,13.0,3.084576,201.98256
2024-01-05 13:00:00,203.15758620689655,1094.35392,93.65,13.0,2.056384,167.68817
2024-01-05 14:00:00,208.14379310344827,1094.35392,93.65,13.0,2.57048,157.20544
2024-01-05 15:00:00,208.3444827586207,1094.35392,93.6,12.0,2.57048,148.93176
2024-01-05 16:00:00,195.1886206896552,1094.35392,93.6,12.0,1.028192,133.06322
2024-01-05 17:00:00,191.60620689655173,1094.35392,93.6,12.0,1.542288,89.529915
2024-01-05 18:00:00,178.32931034482755,1094.35392,93.6,12.0,2.056384,68.87939
