Datetime,PM2.5_Mean,Visibility,Temperature,RH,WindSpeed,BLH
2024-01-03 11:00:00,185.332,1207.008,12.719574,78.06129,1.0339792,642.83154
2024-01-03 12:00:00,212.596,1207.008,12.539978,79.02185,1.6952882,111.25276
2024-01-03 13:00:00,230.82533333333333,1207.008,12.248138,81.1769,1.7453068,58.253677
2024-01-03 14:00:00,234.89766666666668,1207.008,10.540802,87.63323,1.6540647,46.21581
2024-01-03 15:00:00,228.804,1094.35392,9.387665,91.46567,1.6501493,39.575756
2024-01-03 16:00:00,219.524,1094.35392,9.607025,91.48934,1.47966,38.01916
2024-01-03 17:00:00,209.0503333333333,1094.35392,8.877594,93.07519,1.575076,39.594986
2024-01-03 18:00:00,216.84233333333333,901.23264,8.430115,93.9281,1.5837537,45.264236
2024-01-03 19:00:00,234.86766666666665,804.672,8.247284,94.62955,1.6675819,49.811802
2024-01-03 20:00:00,267.03366666666665,804.672,8.124451,95.771835,1.8277991,58.77619
2024-01-03 21:00:00,277.295,804.672,8.192413,95.73641,1.9045548,67.54892
2024-01-03 22:00:00,280.74799999999993,804.672,8.205566,95.355316,2.023953,72.23652
2024-01-03 23:00:00,260.1234482758621,804.672,7.8684998,96.34896,1.8434507,77.00349
2024-01-04 00:00:00,241.495,692.01792,8.650757,93.30314,1.7328421,80.31464
2024-01-04 01:00:00,211.5136666666667,692.01792,8.64389,94.532455,1.7967199,82.52427
2024-01-04 02:00:00,193.067,692.01792,8.423645,95.163734,1.7291757,86.7769
2024-01-04 03:00:00,184.124,498.89664,8.467316,92.40892,1.5138222,103.27948
2024-01-04 04:00:00,179.5536666666667,498.89664,8.73114,90.96858,1.5397476,145.66107
2024-01-04 05:00:00,174.601,498.89664,9.956207,84.65895,1.6411129,216.06764
2024-01-04 06:00:00,171.546,595.45728,11.167999,79.18969,1.6369966,384.0331
2024-01-04 07:00:00,179.9646666666667,692.01792,11.264679,78.08299,1.4331127,596.96796
2024-01-04 08:00:00,198.60766666666663,804.672,13.057007,71.249695,1.0817157,809.9811
2024-01-04 09:00:00,211.61566666666664,804.672,13.810974,68.8805,1.0176696,812.3528
2024-01-04 10:00:00,223.263,804.672,12.734589,80.71636,1.2287123,772.7683
2024-01-04 11:00:00,248.63,804.672,12.67215,79.93542,1.1540021,718.0195
2024-01-04 12:00:00,259.601,804.672,13.553772,76.43804,0.9847286,116.76338
2024-01-04 13:00:00,254.5473333333333,804.672,13.269165,78.95272,1.5526637,82.81341
2024-01-04 14:00:00,252.144,692.01792,11.949005,85.49093,1.8154507,82.23463
